Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Flailing Attacks,,Attack,Encounter,1,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",Standard,Melee,"touch, one target",,,Constitution,AC,1d8 + Constitution modifier damage.,"Make a secondary attack against the same or a different target.
*Secondary Attack:* Constitution vs. AC; 1d8 + Constitution modifier damage.",,,,
Rake,,Attack,Encounter,1,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",Free,Melee,"touch, one target",,You hit on an attack.,Same target; Constitution,AC,1d8 + Constitution modifier damage and 5 persistent damage (save ends).,,,,,
Worrying Bite,,Attack,Encounter,1,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",Standard,Melee,"touch, one target",,,,,"1d10 + Constitution modifier damage, and the target falls prone.",,,,,
Wild Swings,,Attack,Encounter,1,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",Standard,Near,"burst 1, all enemies",,,,,1d6 + Constitution modifier damage.,,,,,
Choppers,Your opponent wasn’t expecting you to use your teeth.,Attack,Encounter,1,Red in Tooth and Claw,"Spirit, Wild Shape, Focus, Consistent",Swift,Melee,"touch, one target",,,Constitution,AC,"2d6 + Constitution modifier damage, and the target is weakened until the start of your next turn.",,,,,"**Level 13:** 4d6 + Strength modifier damage.
**Level 27:** 6d6 + Strength modifier damage."
Wild Empathy,,Utility,Encounter,2,Red in Tooth and Claw,"Spirit, Wild Shape",Swift,Self,,,,,,,,"Until the end of the encounter, you get a +4 bonus on Diplomacy, Bluff, Intimidate and Insight checks against creatures with the beast type.",Ignore this power's Wild Shape tag if you are not in another form.,,
Scout Form,,Utility,Daily,2,Red in Tooth and Claw,"Spirit, Form",Swift,Self,,,,,,,,"You take the form of a Tiny land or aquatic animal, like a cat, salmon or ferret. Your equipment and anything you are wearing merges into your body, but you keep the same statistics and benefit from any bonuses that, for example, magic items give you. You cannot talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. You can leave this form as a swift action.

Pick one:
* Your speed becomes 8
* Your speed becomes 2, and you get a swim speed of 8
* Your speed becomes 6 and you get darkvision
* Your speed becomes 4 and you get blindsight range 6
* Your speed becomes 4 and you can squeeze through gaps as if you were a Diminutive creature",,Standard,
All Fours,Your spine makes a slight adjustment and you become a much faster runner.,Utility,At-Will,2,Red in Tooth and Claw,"Spirit, Wild Shape",Standard,Self,,,,,,,,"You gain a +1 bonus to speed and Reflex defense, and you gain a +2 bonus to Acrobatics and Athletics checks. You also suffer a -4 penalty to ranged attacks. The effect lasts until you end it with a move action.",,,
Full Moon Stance,,Utility,Daily,2,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,"At the end of each of your turns, if you are staggered you regenerate damage equal to your Wisdom modifier. This lasts until the end of the encounter.",,,
Agile Animus,The line between human and beast begins to blur. ,Utility,Daily,2,Red in Tooth and Claw,"Spirit, Wild Shape",Swift,Self,,,,,,,,"Until the end of your next turn, you channel your inner beast.  You gain a +1 power bonus to speed, a +2 power bonus to AC and Reflex defense, and a +3 pow-er bonus to Acrobatics and Stealth checks.",,"Special: At the end of each of your turns during which this power is in effect, make a saving throw. If you succeed, the effect persists until the end of your next turn. You may not voluntarily fail the save. ",
Forceful Animus,The line between human and beast begins to blur. ,Utility,Daily,2,Red in Tooth and Claw,"Spirit, Wild Shape",Swift,Self,,,,,,,,"Until the end of your next turn, you channel your inner beast.  You gain a +2 power bonus to all damage rolls and to AC and Fortitude defense, and a +3 power bonus to Athletics and Endurance checks.
",,"Special: At the end of each of your turns during which this power is in effect, make a saving throw. If you succeed, the effect persists until the end of your next turn. You may not voluntarily fail the save. ",
Fearsome Roar,,Attack,Encounter,3,Red in Tooth and Claw,"Spirit, Wild Shape, Focus, Psychic",Standard,Near,burst 2,,,Constitution,Will,,,"1d8 + Constitution modifier psychic damage, and the target suffers a -4 penalty on attacks against you until the end of your next turn.",,,
Bramble Step,,Utility,Encounter,2,Red in Tooth and Claw,"Spirit, Focus, Wild Shape",Swift,Self,,,,,,,,"Until the end of your next turn, you get the woodland stride feature (ignore difficult terrain from shrubbery, trees or plants).",,,
Bear Hug,,Attack,Encounter,3,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",Standard,Melee,"touch, one target",,,Constitution,AC,1d8 + Constitution modifier damage and the target is grappled. ,,,,,
Kinda Hard to Miss,"Of all the opponents to target, you're the one that somewhat stands out.",Attack,Encounter,3,Red in Tooth and Claw,"Spirit, Wild Shape",Move,Near,"burst 5, all enemies",,,,,,,"The target is marked until they inflict damage on you. You gain combat advantage against each marked target until the end of your next turn. If you take damage from a target while it is marked, shift up to 5 squares and make a basic attack against the target as an immediate (react) action.",,Move: The effect persists against marked targets until the end of your next turn.,
Panicked Switch,"You turn the target into a small, defenseless animal. ",Attack,Daily,5,Red in Tooth and Claw,"Spirit, Transmutation",Standard,Near,"burst 5, one enemy",,,Constitution,Will,3d10 + your Intelligence modifier damage and shunt the target 2. They are helpless (save ends). ,,,"Swift (if they are still helpless, shunt them 2.)",,
Illogical Rage,You've stopped listening to reason. The best thing your allies can do is give you a direction a step back.,Attack,Daily,5,Red in Tooth and Claw,"Spirit, Wild Shape",Immediate (React),Self,,,You are staggered.,,,,,"Until you are no longer staggered or until you fall unconscious, you gain a +4 power bonus to all damage rolls. If you don't hit with an attack on your turn, you gain a +2 bonus to damage on your next hit. This bonus is cumulative every round until you hit. If you do not hit an enemy before the bonus reaches +14, you must make a melee basic attack against the nearest creature on your turn.",,,
Righting Reflex,"That's right, you land like a cat.",Utility,At-Will,6,Red in Tooth and Claw,"Spirit, Wild Shape",No,Self,,,You fall.,,,,,Treat the fall as if it were 6 squares lower and you land on your feet.,,,
Animal Instincts,,Utility,Daily,6,Red in Tooth and Claw,"Spirit, Wild Shape",Swift,Self,,,,,,,,"Until the end of the encounter, you get a +2 bonus on Athletics, Acrobatics, Endure, Stealth and Nature checks. End this power early to reroll an Athletics, Acrobatics, Stealth or Nature check and take the second result.",,,
Scent,,Utility,Daily,6,Red in Tooth and Claw,"Spirit, Wild Shape",Swift,Self,,,,,,,,You have truesight 6.,,,
Regenesis,Your injuries knit in seconds to the shock of those around. You assure them it still hurts like hell.,Utility,Daily,6,Red in Tooth and Claw,"Spirit, Wild Shape, Healing",Move,Self,,,,,,,,You gain regeneration 3 until the end of the encounter.,,,
Rhinohide,"Your skin becomes thick and leathery, able to withstand considerable punishment, though onlookers often advise skin cream.",Utility,Daily,6,Red in Tooth and Claw,"Spirit, Wild Shape",Move,Self,,,,,,,,You gain resist 3 to all damage until the end of the encounter.,,,
Frenzy,Your opponent scores a hit; you growl back. GROWWWLLL …,Attack,Encounter,7,Red in Tooth and Claw,"Spirit, Wild Shape, Consistent",Immediate (React),Self,,,You are hit by an attack. ,,,,,Shift your speed toward the triggering creature and make a melee basic attack against it.,,,
"You, Afraid?",The bigger they are…,Attack,Daily,9,Red in Tooth and Claw,"Spirit, Wild Shape",Swift,Near,"burst 10, one creature",,,,,,,The target is marked until the end of the encounter and you gain a +1 bonus to attack and a +2 bonus to damage against the target until it is dead or five minutes. You are also immune to any fear effects from the target.,,,
Flittering Form,,Utility,Daily,10,Red in Tooth and Claw,"Spirit, Form",Swift,Self,,,,,,,,"You take the form of a Tiny flying animal, like a bird or a bat. You cannot talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. You can leave this form as a swift action. Your speed becomes 4 but you get a fly speed of 8. ",,Standard,
Tenacity,,Utility,Daily,10,Red in Tooth and Claw,"Spirit, Wild Shape",Immediate (Counter),Self,,,You fall to 0 HP or below.,,,,,"Until the end of the encounter, you do not fall unconscious from being at 0 HP or below, or make death saves. At the end of the encounter, if you are still at 0 HP or below, you immediately fall unconscious and start making death saves.",,,
Through New Eyes,,Utility,Daily,10,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",Free,Self,,,You use *wild shape*,,,,,Reroll your initiative with a +4 bonus. You use that initiative from next round onwards.,,,
Active Camouflage,"Whether it be a natural ability of your skin or an acute sense of your surroundings, hiding has never been difficult for you.",Utility,Daily,10,Red in Tooth and Claw,"Spirit, Wild Shape",Free,Self,,,,,,,,"You gain a +15 bonus to your next Stealth check and until you leave cover, if you make a melee or ranged attack from hiding, you are still considered to be hiding.",,,
Bloodhound,They don't call it a detective's nose for nothing.,Utility,Daily,10,Red in Tooth and Claw,"Spirit, Wild Shape",Free,Self,,,,,,,,Gain a +10 power bonus to your next Insight or Perception check.,,,
Survivor-Person,,Utility,Daily,10,Red in Tooth and Claw,"Spirit, Wild Shape",Swift,Self,,,,,,,,"You spend a recovery, regain additional hit points equal to your level, and you gain a +10 bonus to Endurance checks for one hour.",,,
Quick Change Artist,,Utility,Encounter,10,Red in Tooth and Claw,Spirit,Immediate (Counter),Self,,,You are hit by an attack.,,,,,"Use the *wild shape* power, even if it is expended. ",,,
Deimatic Display,,Attack,Encounter,13,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",,Near,"burst 10, one creature",,,Constitution,Will,"2d10 + Constitution modifier psychic damage, and the creature cannot willingly move closer to you until the end of your next turn. ",,,,,"**Level 27:** Range becomes Near burst 10, all enemies"
